"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20441","T47-Verify that User should able to click on ""How to Deposit"" on the How To page","ZA Region","Mon Sep 22 09:46:21 IST 2025","passed","Mon Sep 22 09:46:42 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","19425","T34-Verify Contents of betway app","ZA Region","Mon Sep 22 09:44:51 IST 2025","passed","Mon Sep 22 09:45:11 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","22773","T46-Verify that User should able to click on any option available on ""How to Register"" section","ZA Region","Mon Sep 22 09:46:17 IST 2025","passed","Mon Sep 22 09:46:40 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","68771","T28-Verify functionality of ""Back button"" on Responsible Gaming page","ZA Region","Mon Sep 22 09:44:15 IST 2025","passed","Mon Sep 22 09:45:24 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","59078","T46-Verify that User should able to click on any option available on ""How to SMS"" section","ZA Region","Sat Sep 20 14:57:59 IST 2025","passed","Sat Sep 20 14:58:58 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","65477","T33-Verify functionality of ""Betway App"" at Footer section","ZA Region","Mon Sep 22 09:44:45 IST 2025","passed","Mon Sep 22 09:45:50 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","45402","T48-Verify that User should able to click on any option available on ""How to Bet"" section","ZA Region","Sat Sep 20 14:58:30 IST 2025","passed","Sat Sep 20 14:59:15 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","13927","T7-Verify contents of the ""Sponsorships"" page","ZA Region","Mon Sep 22 09:42:29 IST 2025","passed","Mon Sep 22 09:42:43 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","27701","T1-Verify Footer page","ZA Region","Mon Sep 22 09:42:00 IST 2025","passed","Mon Sep 22 09:42:28 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","43683","T38-Verify functionality of ""Betting Rules"" at footer section","ZA Region","Sat Sep 20 14:57:02 IST 2025","passed","Sat Sep 20 14:57:45 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","48206","T45-Verify that User should able to click on ""How to Bet SMS"" on the How To page","ZA Region","Sat Sep 20 14:57:55 IST 2025","passed","Sat Sep 20 14:58:43 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51076","T54-Verify that User should able to click on any option available on ""How to Deposit"" section","ZA Region","Sat Sep 20 14:59:14 IST 2025","passed","Sat Sep 20 15:00:05 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","32906","T35-Verify functionality of ""Back button"" inside the Betway App page screen","ZA Region","Mon Sep 22 09:45:02 IST 2025","passed","Mon Sep 22 09:45:35 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","47139","T21-Verify functionality of Facebook: /BetwaySouthAfrica"" hyperlink","ZA Region","Mon Sep 22 09:43:28 IST 2025","passed","Mon Sep 22 09:44:15 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","17136","T14-Verify functionality of ""Contact Us"" button","ZA Region","Mon Sep 22 09:42:48 IST 2025","passed","Mon Sep 22 09:43:05 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","51743","T32-Verify functionality of ""Betting Rules"" at footer section","ZA Region","Mon Sep 22 09:44:41 IST 2025","passed","Mon Sep 22 09:45:32 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
"","20167","T9-Verify that on Sponsorships information page all the hyperlink should navigate to the respected page after clicking on it","ZA Region","Mon Sep 22 09:42:30 IST 2025","passed","Mon Sep 22 09:42:51 IST 2025","Footer Module Tests","modules\footer\footer.spec.ts","",""
